Group	Animal	ALT.24h	ALT.48h	ALT.72h	AST.24h	AST.48h	AST.72h	TBil.24h	TBil.48h	TBil.72h
K	K-4	47.0	54.0	33.0	284.0	221.0	118.0	0.6	0.8	0.1
K	K-5	51.0	53.0	42.0	213.0	219.0	105.0	0.6	0.4	0.1
K	K-6	50.0	60.0	31.0	246.0	187.0	123.0	0.5	0.9	0.4
K1	K1-1	53.0	42.0	29.0	347.0	123.0	108.0	0.1	0.2	0.1
K1	K1-2	45.0	48.0	29.0	254.0	121.0	135.0	0.4	0.1	0.1
K1	K1-3	53.0	56.0	34.0	252.0	159.0	115.0	3.7	0.4	0.2
K1	K1-4	39.0	39.0	25.0	174.0	162.0	84.0	0.3	0.1	1.8
K1	K1-5	42.0	65.0	23.0	333.0	186.0	82.0	0.8	0.5	0.5
K1	K1-6	52.0	57.0	26.0	213.0	211.0	131.0	0.1	0.1	0.1
W	W-1	1.0	83.0	110.0	258.0	169.0	158.0	0.2	0.1	2.1
W	W-10	90.0	54.0	127.0	287.0	235.0	244.0	0.1	0.3	0.7
W	W-11	82.0	64.0	55.0	318.0	246.0	142.0	0.5	1.0	1.2
W	W-12	83.0	357.0	144.0	346.0	751.0	305.0	0.4	1.5	0.1
W	W-13	75.0	56.0	42.0	201.0	225.0	142.0	0.1	0.4	0.5
W	W-14	138.0	67.0	58.0	605.0	216.0	115.0	1.8	0.3	0.2
W	W-15	110.0	57.0	62.0	353.0	243.0	176.0	0.3	0.2	0.3
W	W-16	98.0	64.0	53.0	378.0	259.0	131.0	1.8	0.5	0.2
W	W-17	76.0	60.0	49.0	368.0	284.0	163.0	0.1	0.1	0.5
W	W-18	91.0	74.0	59.0	299.0	315.0	154.0	0.1	0.4	0.1
W	W-19	118.0	73.0	89.0	348.0	187.0	160.0	0.1	0.1	0.3
W	W-2	86.0	55.0	53.0	222.0	177.0	121.0	0.9	1.2	0.2
W	W-20	86.0	70.0	72.0	312.0	264.0	184.0	0.1	0.1	3.1
W	W-3	121.0	57.0	71.0	311.0	217.0	144.0	0.1	1.3	0.1
W	W-4	100.0	63.0	68.0	249.0	304.0	162.0	0.2	0.4	1.1
W	W-5	87.0	58.0	44.0	253.0	175.0	121.0	0.3	1.1	0.6
W	W-6	124.0	64.0	56.0	465.0	299.0	160.0	1.0	0.4	0.2
W	W-7	91.0	57.0	46.0	282.0	200.0	140.0	0.6	0.3	0.9
W	W-8	126.0	77.0	61.0	337.0	301.0	155.0	0.3	0.4	1.3
W	W-9	98.0	59.0	58.0	244.0	252.0	112.0	0.1	0.1	0.4
